city_ascii,admin_name,admin_name_ascii
Delhi,Delhi,Delhi
Mumbai,Mah?r?shtra,Maharashtra
Kolkata,West Bengal,West Bengal
Bangalore,Karn?taka,Karnataka
Chennai,Tamil N?du,Tamil Nadu
Hyderabad,Telang?na,Telangana
Pune,Mah?r?shtra,Maharashtra
Ahmedabad,Gujar?t,Gujarat
Surat,Gujar?t,Gujarat
Prayagraj,Uttar Pradesh,Uttar Pradesh
Belahi,Bih?r,Bihar
Nadampalaiyam,Tamil N?du,Tamil Nadu
Lucknow,Uttar Pradesh,Uttar Pradesh
Kannankulam,Kerala,Kerala
Jaipur,R?jasth?n,Rajasthan
Kottarassheri,Kerala,Kerala
Attadappa,Kerala,Kerala
Barmhan Kalan,Madhya Pradesh,Madhya Pradesh
Mirzapur,Uttar Pradesh,Uttar Pradesh
Nagpur,Mah?r?shtra,Maharashtra
Ghaziabad,Uttar Pradesh,Uttar Pradesh
Supaul,Bih?r,Bihar
Vadodara,Gujar?t,Gujarat
Rajkot,Gujar?t,Gujarat
Vishakhapatnam,Andhra Pradesh,Andhra Pradesh
Indore,Madhya Pradesh,Madhya Pradesh
Abhepur,Hary?na,Haryana
Thane,Mah?r?shtra,Maharashtra
Bhopal,Madhya Pradesh,Madhya Pradesh
Agra,Uttar Pradesh,Uttar Pradesh
Peyanvilai,Tamil N?du,Tamil Nadu
Pimpri-Chinchwad,Mah?r?shtra,Maharashtra
Patna,Bih?r,Bihar
Bilaspur,Chhatt?sgarh,Chhattisgarh
Ludhiana,Punjab,Punjab
Madurai,Tamil N?du,Tamil Nadu
Jamshedpur,Jh?rkhand,Jharkhand
Nasik,Mah?r?shtra,Maharashtra
Vijayawada,Andhra Pradesh,Andhra Pradesh
Faridabad,Hary?na,Haryana
Najafgarh,Delhi,Delhi
Meerut,Uttar Pradesh,Uttar Pradesh
Jabalpur,Madhya Pradesh,Madhya Pradesh
Kalyan,Mah?r?shtra,Maharashtra
Vasai-Virar,Mah?r?shtra,Maharashtra
Panipat,Hary?na,Haryana
Varanasi,Uttar Pradesh,Uttar Pradesh
Kalleli,Kerala,Kerala
Srinagar,Jammu and Kashm?r,Jammu and Kashmir
Aurangabad,Mah?r?shtra,Maharashtra
Dhanbad,Jh?rkhand,Jharkhand
Amritsar,Punjab,Punjab
Aligarh,Uttar Pradesh,Uttar Pradesh
Guwahati,Assam,Assam
Haora,West Bengal,West Bengal
Ranchi,Jh?rkhand,Jharkhand
Gwalior,Madhya Pradesh,Madhya Pradesh
Chandigarh,,
Jodhpur,R?jasth?n,Rajasthan
Raipur,Chhatt?sgarh,Chhattisgarh
Kota,R?jasth?n,Rajasthan
Bareilly,Uttar Pradesh,Uttar Pradesh
Coimbatore,Tamil N?du,Tamil Nadu
Solapur,Mah?r?shtra,Maharashtra
Hubli,Karn?taka,Karnataka
Mysore,Karn?taka,Karnataka
Trichinopoly,Tamil N?du,Tamil Nadu
Moradabad,Uttar Pradesh,Uttar Pradesh
Tiruppur,Tamil N?du,Tamil Nadu
Gurgaon,Hary?na,Haryana
Jalandhar,Punjab,Punjab
Bhubaneshwar,Odisha,Odisha
Narela,Delhi,Delhi
Bhayandar,Mah?r?shtra,Maharashtra
Karimnagar,Andhra Pradesh,Andhra Pradesh
Patiala,Punjab,Punjab
Shishgarh,Uttar Pradesh,Uttar Pradesh
Thiruvananthapuram,Kerala,Kerala
Durgapur,West Bengal,West Bengal
Bhiwandi,Mah?r?shtra,Maharashtra
Bhilwara,R?jasth?n,Rajasthan
Saharanpur,Uttar Pradesh,Uttar Pradesh
Warangal,Andhra Pradesh,Andhra Pradesh
Shiliguri,West Bengal,West Bengal
Salem,Tamil N?du,Tamil Nadu
Kochi,Kerala,Kerala
Gorakhpur,Uttar Pradesh,Uttar Pradesh
Guntur,Andhra Pradesh,Andhra Pradesh
Karaikandi,Assam,Assam
Haldwani,Uttar?khand,Uttarakhand
Dhulia,Mah?r?shtra,Maharashtra
Bhavnagar,Gujar?t,Gujarat
Noida,Uttar Pradesh,Uttar Pradesh
Bhangar,West Bengal,West Bengal
Bhilai,Chhatt?sgarh,Chhattisgarh
Mangalore,Karn?taka,Karnataka
Bihta,Bih?r,Bihar
Hasanpur,Uttar Pradesh,Uttar Pradesh
Cuttack,Odisha,Odisha
Salimpur,Uttar Pradesh,Uttar Pradesh
Raurkela,Odisha,Odisha
Tumkur,Karn?taka,Karnataka
Dehra Dun,Uttar?khand,Uttarakhand
Kottayam,Kerala,Kerala
Asansol,West Bengal,West Bengal
Bokaro Steel City,Jh?rkhand,Jharkhand
Kolhapur,Mah?r?shtra,Maharashtra
Nava Raipur,Chhatt?sgarh,Chhattisgarh
Ajmer,R?jasth?n,Rajasthan
Nanded,Mah?r?shtra,Maharashtra
Amravati,Mah?r?shtra,Maharashtra
Nellore,Andhra Pradesh,Andhra Pradesh
Dispur,Assam,Assam
Gulbarga,Karn?taka,Karnataka
Bikaner,R?jasth?n,Rajasthan
Agartala,Tripura,Tripura
Chanda,Mah?r?shtra,Maharashtra
Loni,Uttar Pradesh,Uttar Pradesh
Ujjain,Madhya Pradesh,Madhya Pradesh
Jhansi,Uttar Pradesh,Uttar Pradesh
Ulhasnagar,Mah?r?shtra,Maharashtra
Jammu,Jammu and Kashm?r,Jammu and Kashmir
Tuticorin,Tamil N?du,Tamil Nadu
Purnea,Bih?r,Bihar
Belgaum,Karn?taka,Karnataka
Vellore,Tamil N?du,Tamil Nadu
Malegaon,Mah?r?shtra,Maharashtra
Jamnagar,Gujar?t,Gujarat
Bardoli,Gujar?t,Gujarat
Gaya,Bih?r,Bihar
Ambattur,Tamil N?du,Tamil Nadu
Jalgaon,Mah?r?shtra,Maharashtra
Chhatarpur,Madhya Pradesh,Madhya Pradesh
Kurnool,Andhra Pradesh,Andhra Pradesh
Udaipur,R?jasth?n,Rajasthan
Wapi,,
Mathura,Uttar Pradesh,Uttar Pradesh
Sangli,Mah?r?shtra,Maharashtra
Davangere,Karn?taka,Karnataka
Calicut,Kerala,Kerala
Mothihari,Bih?r,Bihar
Akola,Mah?r?shtra,Maharashtra
Bettiah,Bih?r,Bihar
Shorapur,Karn?taka,Karnataka
Tinnevelly,Tamil N?du,Tamil Nadu
Bellary,Karn?taka,Karnataka
Bhagalpur,Bih?r,Bihar
Manampizha,Kerala,Kerala
Delhi Cantonment,Delhi,Delhi
Salt Lake City,West Bengal,West Bengal
Etawa,Madhya Pradesh,Madhya Pradesh
Sonipat,Hary?na,Haryana
Quilon,Kerala,Kerala
Mulangodi,Kerala,Kerala
Munro Turuttu,Kerala,Kerala
Karur,Tamil N?du,Tamil Nadu
Jalna,Mah?r?shtra,Maharashtra
Bairia,Uttar Pradesh,Uttar Pradesh
Bhatpara,West Bengal,West Bengal
Sirur,Mah?r?shtra,Maharashtra
Kakinada,Andhra Pradesh,Andhra Pradesh
Panihati,West Bengal,West Bengal
Rohtak,Hary?na,Haryana
Maler Kotla,Punjab,Punjab
Kolga,Chhatt?sgarh,Chhattisgarh
Korba,Chhatt?sgarh,Chhattisgarh
Sikar,R?jasth?n,Rajasthan
Sasaram,Bih?r,Bihar
Karnal,Hary?na,Haryana
Brahmapur,Odisha,Odisha
Ahmadnagar,Mah?r?shtra,Maharashtra
Shahjanpur,Uttar Pradesh,Uttar Pradesh
Avadi,Tamil N?du,Tamil Nadu
Khanapur,Karn?taka,Karnataka
Cuddapah,Andhra Pradesh,Andhra Pradesh
Alamadi,Tamil N?du,Tamil Nadu
Rajahmundry,Andhra Pradesh,Andhra Pradesh
Alwar,R?jasth?n,Rajasthan
Sambalpur,Odisha,Odisha
Muzaffarpur,Bih?r,Bihar
Kamarhati,West Bengal,West Bengal
Campiernagar,Uttar Pradesh,Uttar Pradesh
Bijapur,Karn?taka,Karnataka
Ratnagiri,Mah?r?shtra,Maharashtra
Jagdalpur,Chhatt?sgarh,Chhattisgarh
Rampur,Uttar Pradesh,Uttar Pradesh
Shimoga,Karn?taka,Karnataka
Kashipur,Uttar?khand,Uttarakhand
Junagadh,Gujar?t,Gujarat
Hapur,Uttar Pradesh,Uttar Pradesh
Pattikad,Kerala,Kerala
Trichur,Kerala,Kerala
Barddhaman,West Bengal,West Bengal
Panvel,Mah?r?shtra,Maharashtra
Nizamabad,Andhra Pradesh,Andhra Pradesh
Parbhani,Mah?r?shtra,Maharashtra
Hisar,Hary?na,Haryana
Fatehpur,R?jasth?n,Rajasthan
Birania,Madhya Pradesh,Madhya Pradesh
Karaikkudi,Tamil N?du,Tamil Nadu
Lachhmangarh Sikar,R?jasth?n,Rajasthan
Oulgaret,Puducherry,Puducherry
Ingraj Bazar,West Bengal,West Bengal
Bada Barabil,Odisha,Odisha
Bihar,Bih?r,Bihar
Darbhanga,Bih?r,Bihar
Idar,Gujar?t,Gujarat
Sikandarabad,Uttar Pradesh,Uttar Pradesh
Aizawl,Mizoram,Mizoram
Bali,West Bengal,West Bengal
Surajgarha,Bih?r,Bihar
Nagercoil,Tamil N?du,Tamil Nadu
Dewas,Madhya Pradesh,Madhya Pradesh
Sonpur,Bih?r,Bihar
Hugli,West Bengal,West Bengal
Chunchura,West Bengal,West Bengal
Ichalkaranji,Mah?r?shtra,Maharashtra
Tirupati,Andhra Pradesh,Andhra Pradesh
Bhatinda,Punjab,Punjab
Satna,Madhya Pradesh,Madhya Pradesh
Mau,Uttar Pradesh,Uttar Pradesh
Barasat,West Bengal,West Bengal
Farrukhabad,Uttar Pradesh,Uttar Pradesh
Saugor,Madhya Pradesh,Madhya Pradesh
Khorabar,Uttar Pradesh,Uttar Pradesh
Ratlam,Madhya Pradesh,Madhya Pradesh
Handwara,Jammu and Kashm?r,Jammu and Kashmir
Drug,Chhatt?sgarh,Chhattisgarh
Anantapur,Andhra Pradesh,Andhra Pradesh
Imphal,Manipur,Manipur
Arrah,Bih?r,Bihar
Sivakasi,Tamil N?du,Tamil Nadu
Etawah,Uttar Pradesh,Uttar Pradesh
Malkajgiri,Andhra Pradesh,Andhra Pradesh
Tuni,Andhra Pradesh,Andhra Pradesh
Amarnath,Mah?r?shtra,Maharashtra
Rapar,Gujar?t,Gujarat
Samastipur,Bih?r,Bihar
Gokak,Karn?taka,Karnataka
Bharatpur,R?jasth?n,Rajasthan
Begusarai,Bih?r,Bihar
Nedumana,Kerala,Kerala
New Delhi,Delhi,Delhi
Tiruvottiyur,Tamil N?du,Tamil Nadu
Ramnagar,Bih?r,Bihar
Gandhidham,Gujar?t,Gujarat
Salumbar,R?jasth?n,Rajasthan
Puducherry,Puducherry,Puducherry
Kanpur,Uttar Pradesh,Uttar Pradesh
Ramgundam,Andhra Pradesh,Andhra Pradesh
Pandharpur,Mah?r?shtra,Maharashtra
Masaurhi Buzurg,Bih?r,Bihar
Alleppey,Kerala,Kerala
Katihar,Bih?r,Bihar
Ahor,R?jasth?n,Rajasthan
Ganganagar,R?jasth?n,Rajasthan
Tinkhang,Assam,Assam
Rewa,Madhya Pradesh,Madhya Pradesh
Uluberiya,West Bengal,West Bengal
Bulandshahr,Uttar Pradesh,Uttar Pradesh
Raichur,Karn?taka,Karnataka
Chauhanpatti,Uttar Pradesh,Uttar Pradesh
Cannanore,Kerala,Kerala
Machilipatnam,Andhra Pradesh,Andhra Pradesh
Pali,R?jasth?n,Rajasthan
Songadh,Gujar?t,Gujarat
Gadda Madiral,Andhra Pradesh,Andhra Pradesh
Hosur,Tamil N?du,Tamil Nadu
Haridwar,Uttar?khand,Uttarakhand
Vizianagaram,Andhra Pradesh,Andhra Pradesh
Pathardi,Mah?r?shtra,Maharashtra
Mel Palaiyam,Tamil N?du,Tamil Nadu
Khatima,Uttar?khand,Uttarakhand
Petlad,Gujar?t,Gujarat
Pudukkottai,Tamil N?du,Tamil Nadu
Nadiad,Gujar?t,Gujarat
Tanjore,Tamil N?du,Tamil Nadu
Kichha,Uttar?khand,Uttarakhand
Katri,Madhya Pradesh,Madhya Pradesh
Dagarua,Bih?r,Bihar
Sambhal,Uttar Pradesh,Uttar Pradesh
Singrauliya,Madhya Pradesh,Madhya Pradesh
Naihati,West Bengal,West Bengal
Jaynagar,Bih?r,Bihar
Yamunanagar,Hary?na,Haryana
Pallavaram,Tamil N?du,Tamil Nadu
Khargone,Madhya Pradesh,Madhya Pradesh
Secunderabad,Andhra Pradesh,Andhra Pradesh
Monghyr,Bih?r,Bihar
Chapra,Bih?r,Bihar
Bhadravati,Karn?taka,Karnataka
Panchkula,Hary?na,Haryana
Burhanpur,Madhya Pradesh,Madhya Pradesh
Kapra,Andhra Pradesh,Andhra Pradesh
Nowgong,Assam,Assam
Ambala,Hary?na,Haryana
Kharagpur,West Bengal,West Bengal
Robertsonpet,Karn?taka,Karnataka
Dindigul,Tamil N?du,Tamil Nadu
Raniwara Kalan,R?jasth?n,Rajasthan
Shimla,Him?chal Pradesh,Himachal Pradesh
Hospet,Karn?taka,Karnataka
Maldah,West Bengal,West Bengal
Ongole,Andhra Pradesh,Andhra Pradesh
Ellore,Andhra Pradesh,Andhra Pradesh
Deoghar,Jh?rkhand,Jharkhand
Chhindwara,Madhya Pradesh,Madhya Pradesh
Mokameh,Bih?r,Bihar
Puri,Odisha,Odisha
Haldia,West Bengal,West Bengal
Khandwa,Madhya Pradesh,Madhya Pradesh
Nandyal,Andhra Pradesh,Andhra Pradesh
Morena,Madhya Pradesh,Madhya Pradesh
Karjat,Mah?r?shtra,Maharashtra
Kasba Pataspur,West Bengal,West Bengal
Drabar,Jammu and Kashm?r,Jammu and Kashmir
Amroha,Uttar Pradesh,Uttar Pradesh
Rani,Kerala,Kerala
Chakradharpur,Jh?rkhand,Jharkhand
Bhiwani,Hary?na,Haryana
Bhind,Madhya Pradesh,Madhya Pradesh
Khammam,Andhra Pradesh,Andhra Pradesh
Madhyamgram,West Bengal,West Bengal
Ghandinagar,Gujar?t,Gujarat
Baharampur,West Bengal,West Bengal
Morbi,Gujar?t,Gujarat
Fatehpur,Uttar Pradesh,Uttar Pradesh
Rae Bareli,Uttar Pradesh,Uttar Pradesh
Orai,Uttar Pradesh,Uttar Pradesh
Mahbubnagar,Andhra Pradesh,Andhra Pradesh
Murtazabad,Uttar Pradesh,Uttar Pradesh
Bhuj,Gujar?t,Gujarat
Ratanpur,Gujar?t,Gujarat
Bhusaval,Mah?r?shtra,Maharashtra
Bahraigh,Uttar Pradesh,Uttar Pradesh
Umreth,Gujar?t,Gujarat
Ittikara,Kerala,Kerala
Mahesana,Gujar?t,Gujarat
Alasandigutta,Andhra Pradesh,Andhra Pradesh
Raiganj,West Bengal,West Bengal
Batala,Punjab,Punjab
Palanpur,Gujar?t,Gujarat
Sirsa,Hary?na,Haryana
Dinapore,Bih?r,Bihar
Tambaram,Tamil N?du,Tamil Nadu
Shrirampur,West Bengal,West Bengal
Himatnagar,Gujar?t,Gujarat
Guna,Madhya Pradesh,Madhya Pradesh
Nawada,Bih?r,Bihar
Jaunpur,Uttar Pradesh,Uttar Pradesh
Mahad,Mah?r?shtra,Maharashtra
Madanapalle,Andhra Pradesh,Andhra Pradesh
Wadlakonda,Andhra Pradesh,Andhra Pradesh
Bhachau,Gujar?t,Gujarat
Shivpuri,Madhya Pradesh,Madhya Pradesh
Satara,Mah?r?shtra,Maharashtra
Vada,Mah?r?shtra,Maharashtra
Phillaur,Punjab,Punjab
Unnao,Uttar Pradesh,Uttar Pradesh
Sitapur,Uttar Pradesh,Uttar Pradesh
Kalamboli,Mah?r?shtra,Maharashtra
Saila,R?jasth?n,Rajasthan
Waraseoni,Madhya Pradesh,Madhya Pradesh
Mauli,Punjab,Punjab
Harnaut,Bih?r,Bihar
Chittoor,Andhra Pradesh,Andhra Pradesh
Navadwip,West Bengal,West Bengal
Kotdwara,Uttar?khand,Uttarakhand
Pilibhit,Uttar Pradesh,Uttar Pradesh
Cuddalore,Tamil N?du,Tamil Nadu
Gondal,Gujar?t,Gujarat
Deo,Bih?r,Bihar
Silchar,Assam,Assam
Chirala,Andhra Pradesh,Andhra Pradesh
Gadag,Karn?taka,Karnataka
Tiruvannamalai,Tamil N?du,Tamil Nadu
Bidar,Karn?taka,Karnataka
Jalalabad,Punjab,Punjab
Villupuram,Tamil N?du,Tamil Nadu
Nawsari,Gujar?t,Gujarat
Valsad,Gujar?t,Gujarat
Medinipur,West Bengal,West Bengal
Damoh,Madhya Pradesh,Madhya Pradesh
Haripur,Punjab,Punjab
Neyveli,Tamil N?du,Tamil Nadu
Baramula,Jammu and Kashm?r,Jammu and Kashmir
Malkapur,Mah?r?shtra,Maharashtra
Jind,Hary?na,Haryana
Chandannagar,West Bengal,West Bengal
Adoni,Andhra Pradesh,Andhra Pradesh
Udipi,Karn?taka,Karnataka
Fyzabad,Uttar Pradesh,Uttar Pradesh
Sawai Madhopur,R?jasth?n,Rajasthan
Tenali,Andhra Pradesh,Andhra Pradesh
Conjeeveram,Tamil N?du,Tamil Nadu
Madhubani,Bih?r,Bihar
Proddatur,Andhra Pradesh,Andhra Pradesh
Sultanpur Mazra,Delhi,Delhi
Godhra,Gujar?t,Gujarat
Multai,Madhya Pradesh,Madhya Pradesh
Pangzawl,Mizoram,Mizoram
Prantij,Gujar?t,Gujarat
Moga,Punjab,Punjab
Budaun,Uttar Pradesh,Uttar Pradesh
Uttarpara,West Bengal,West Bengal
Daltonganj,Jh?rkhand,Jharkhand
Jamkhed,Mah?r?shtra,Maharashtra
Bharuch,Gujar?t,Gujarat
Lunglei,Mizoram,Mizoram
Saharsa,Bih?r,Bihar
Vidisha,Madhya Pradesh,Madhya Pradesh
Pathankot,Punjab,Punjab
Karwar,Karn?taka,Karnataka
Thanesar,Hary?na,Haryana
Kishangarh,R?jasth?n,Rajasthan
Rudarpur,Uttar?khand,Uttarakhand
Tindwara,Uttar Pradesh,Uttar Pradesh
Nalgonda,Andhra Pradesh,Andhra Pradesh
Dibrugarh,Assam,Assam
Veraval,Gujar?t,Gujarat
Betul Bazar,Madhya Pradesh,Madhya Pradesh
Balurghat,West Bengal,West Bengal
Jorhat,Assam,Assam
Krishnanagar,West Bengal,West Bengal
Barakpur,West Bengal,West Bengal
Porbandar,Gujar?t,Gujarat
Shantipur,West Bengal,West Bengal
Hindupur,Andhra Pradesh,Andhra Pradesh
Beawar,R?jasth?n,Rajasthan
Bhalswa Jahangirpur,Delhi,Delhi
Erode,Tamil N?du,Tamil Nadu
Sibsagar,Assam,Assam
Nangloi Jat,Delhi,Delhi
Soro,Odisha,Odisha
Nuzvid,Andhra Pradesh,Andhra Pradesh
Sitarganj,Uttar?khand,Uttarakhand
Hajipur,Bih?r,Bihar
Habra,West Bengal,West Bengal
Bara Banki,Uttar Pradesh,Uttar Pradesh
Bir,Mah?r?shtra,Maharashtra
Narnaul,Hary?na,Haryana
Chitaldrug,Karn?taka,Karnataka
Etah,Uttar Pradesh,Uttar Pradesh
Abohar,Punjab,Punjab
Kaithal,Hary?na,Haryana
Balasore,Odisha,Odisha
Koiridih,Jh?rkhand,Jharkhand
Shillong,Megh?laya,Meghalaya
Rewari,Hary?na,Haryana
Hazaribagh,Jh?rkhand,Jharkhand
Bhimavaram,Andhra Pradesh,Andhra Pradesh
Mandsaur,Madhya Pradesh,Madhya Pradesh
Chas,Jh?rkhand,Jharkhand
Port Blair,Andaman and Nicobar Islands,Andaman and Nicobar Islands
Harchandpur,Uttar Pradesh,Uttar Pradesh
Kumbakonam,Tamil N?du,Tamil Nadu
Aul,Odisha,Odisha
Kolar,Karn?taka,Karnataka
Chicacole,Andhra Pradesh,Andhra Pradesh
Bankura,West Bengal,West Bengal
Mandya,Karn?taka,Karnataka
Dehri,Bih?r,Bihar
Durgauti,Bih?r,Bihar
Mainpuri,Uttar Pradesh,Uttar Pradesh
Talaivasal,Tamil N?du,Tamil Nadu
Raigarh,Chhatt?sgarh,Chhattisgarh
Haraipur,Uttar Pradesh,Uttar Pradesh
Siwan,Bih?r,Bihar
Kalol,Gujar?t,Gujarat
Hassan,Karn?taka,Karnataka
Lalitpur,Uttar Pradesh,Uttar Pradesh
Paramagudi,Tamil N?du,Tamil Nadu
Gondia,Mah?r?shtra,Maharashtra
Dalupura,Delhi,Delhi
Naryai ka Puri,Madhya Pradesh,Madhya Pradesh
Palwal,Hary?na,Haryana
Palghat,Kerala,Kerala
Anand,Gujar?t,Gujarat
Botad,Gujar?t,Gujarat
Mukerian,Punjab,Punjab
Hanumangarh,R?jasth?n,Rajasthan
Jetpur,Gujar?t,Gujarat
Arcot,Tamil N?du,Tamil Nadu
Kanchrapara,West Bengal,West Bengal
Hoshangabad,Madhya Pradesh,Madhya Pradesh
Khanna,Punjab,Punjab
Nagda,Madhya Pradesh,Madhya Pradesh
Hardoi,Uttar Pradesh,Uttar Pradesh
Guntakal,Andhra Pradesh,Andhra Pradesh
Pithampur,Madhya Pradesh,Madhya Pradesh
Patan,Gujar?t,Gujarat
Basirhat,West Bengal,West Bengal
Raxaul,Bih?r,Bihar
Halisahar,West Bengal,West Bengal
Jagadhri,Hary?na,Haryana
Sunam,Punjab,Punjab
Rishra,West Bengal,West Bengal
Jharsugra,Odisha,Odisha
Pali,Madhya Pradesh,Madhya Pradesh
Nandgaon,Mah?r?shtra,Maharashtra
Alwal,Andhra Pradesh,Andhra Pradesh
Dimapur,Assam,Assam
Sarangapuram,Andhra Pradesh,Andhra Pradesh
Bhadrakh,Odisha,Odisha
Dharmavaram,Andhra Pradesh,Andhra Pradesh
Ambikapur,Chhatt?sgarh,Chhattisgarh
Puruliya,West Bengal,West Bengal
Ghazipur,Uttar Pradesh,Uttar Pradesh
Bagaha,Bih?r,Bihar
Gurdaspur,Punjab,Punjab
Tindivanam,Tamil N?du,Tamil Nadu
Khurda,Odisha,Odisha
Hengken,,
Nokha,R?jasth?n,Rajasthan
Jandrapeta,Andhra Pradesh,Andhra Pradesh
Yelahanka,Karn?taka,Karnataka
Namakkal,Tamil N?du,Tamil Nadu
Darjeeling,West Bengal,West Bengal
Sopur,Jammu and Kashm?r,Jammu and Kashmir
Chikmagalur,Karn?taka,Karnataka
Gudivada,Andhra Pradesh,Andhra Pradesh
Amreli,Gujar?t,Gujarat
Phagwara,Punjab,Punjab
Adilabad,Andhra Pradesh,Andhra Pradesh
Baripada,Odisha,Odisha
Yavatmal,Mah?r?shtra,Maharashtra
Titagarh,West Bengal,West Bengal
Barnala,Punjab,Punjab
Chittaurgarh,R?jasth?n,Rajasthan
Narasaraopet,Andhra Pradesh,Andhra Pradesh
Chidambaram,Tamil N?du,Tamil Nadu
Kovilpatti,Tamil N?du,Tamil Nadu
Bijnor,Uttar Pradesh,Uttar Pradesh
Dam Dam,West Bengal,West Bengal
Vejalpur,Gujar?t,Gujarat
Balangir,Odisha,Odisha
Shegaon,Mah?r?shtra,Maharashtra
Magra,West Bengal,West Bengal
Mahasamund,Chhatt?sgarh,Chhattisgarh
Rajpura,Punjab,Punjab
Bagalkot,Karn?taka,Karnataka
Osmanabad,Mah?r?shtra,Maharashtra
Kalianpur,Uttar Pradesh,Uttar Pradesh
Shujalpur,Madhya Pradesh,Madhya Pradesh
Sahibganj,Jh?rkhand,Jharkhand
Champdani,West Bengal,West Bengal
Disa,Gujar?t,Gujarat
Nandurbar,Mah?r?shtra,Maharashtra
Purwa Utar,Uttar Pradesh,Uttar Pradesh
Ferozepore,Punjab,Punjab
Mancheral,Andhra Pradesh,Andhra Pradesh
Mirialguda,Andhra Pradesh,Andhra Pradesh
Sehore,Madhya Pradesh,Madhya Pradesh
Bangaon,West Bengal,West Bengal
Khopoli,Mah?r?shtra,Maharashtra
Islamabad,Jammu and Kashm?r,Jammu and Kashmir
Khardah,West Bengal,West Bengal
Mungeli,Chhatt?sgarh,Chhattisgarh
Tadpatri,Andhra Pradesh,Andhra Pradesh
Gharbara,Uttar Pradesh,Uttar Pradesh
Sultanpur,Uttar Pradesh,Uttar Pradesh
Shikohabad,Uttar Pradesh,Uttar Pradesh
Jalpaiguri,West Bengal,West Bengal
Shamli,Uttar Pradesh,Uttar Pradesh
Bhilai Karanja,Chhatt?sgarh,Chhattisgarh
Suriapet,Andhra Pradesh,Andhra Pradesh
Wardha,Mah?r?shtra,Maharashtra
Ranibennur,Karn?taka,Karnataka
Barnoi,Jammu and Kashm?r,Jammu and Kashmir
Sitamarhi,Bih?r,Bihar
Kishanganj,Bih?r,Bihar
Hindaun,R?jasth?n,Rajasthan
Semari,R?jasth?n,Rajasthan
Gangawati,Karn?taka,Karnataka
North Lakhimpur,Assam,Assam
Jamalpur,Bih?r,Bihar
Makrana,R?jasth?n,Rajasthan
Sheopur,Madhya Pradesh,Madhya Pradesh
Ballia,Uttar Pradesh,Uttar Pradesh
Tadepallegudem,Andhra Pradesh,Andhra Pradesh
Bansbaria,West Bengal,West Bengal
Bundi,R?jasth?n,Rajasthan
Amaravati,Andhra Pradesh,Andhra Pradesh
Negapatam,Tamil N?du,Tamil Nadu
Buxar,Bih?r,Bihar
Kheda,Gujar?t,Gujarat
Tezpur,Assam,Assam
Seoni,Madhya Pradesh,Madhya Pradesh
Aurangabad,Bih?r,Bihar
Rishikesh,Uttar?khand,Uttarakhand
Kapurthala,Punjab,Punjab
Dhamtari,Chhatt?sgarh,Chhattisgarh
Raneswar,Jh?rkhand,Jharkhand
Brajarajnagar,Odisha,Odisha
Sujangarh,R?jasth?n,Rajasthan
Bhadreswar,West Bengal,West Bengal
Chilakalurupet,Andhra Pradesh,Andhra Pradesh
Jeypore,Odisha,Odisha
Karanja,Mah?r?shtra,Maharashtra
Kalyani,West Bengal,West Bengal
Datia,Madhya Pradesh,Madhya Pradesh
Gangtok,Sikkim,Sikkim
Suramala,Andhra Pradesh,Andhra Pradesh
Barod,R?jasth?n,Rajasthan
Bijaynagar,R?jasth?n,Rajasthan
Khambhaliya,Gujar?t,Gujarat
Abbigeri,Karn?taka,Karnataka
Kundli,Hary?na,Haryana
Sojat,R?jasth?n,Rajasthan
Navalyal,Mah?r?shtra,Maharashtra
Luckeesarai,Bih?r,Bihar
Kadaiyanallur,Tamil N?du,Tamil Nadu
Tinsukia,Assam,Assam
Tellicherry,Kerala,Kerala
Itarsi,Madhya Pradesh,Madhya Pradesh
Kohima,N?g?land,Nagaland
Khambhat,Gujar?t,Gujarat
Mahuva,Gujar?t,Gujarat
Ramnagar,Uttar?khand,Uttarakhand
Deoni Buzurg,Mah?r?shtra,Maharashtra
Kalluru,Andhra Pradesh,Andhra Pradesh
Bodinayakkanur,Tamil N?du,Tamil Nadu
Harihar,Karn?taka,Karnataka
Amalner,Mah?r?shtra,Maharashtra
Sardarshahr,R?jasth?n,Rajasthan
Dhulian,West Bengal,West Bengal
Zerakpur,Punjab,Punjab
Tandwa,Uttar Pradesh,Uttar Pradesh
Tiruchengodu,Tamil N?du,Tamil Nadu
Pedagadi,Andhra Pradesh,Andhra Pradesh
Nagina,Uttar Pradesh,Uttar Pradesh
Chakdaha,West Bengal,West Bengal
Closepet,Karn?taka,Karnataka
Emmiganur,Andhra Pradesh,Andhra Pradesh
Yalamakuru,Andhra Pradesh,Andhra Pradesh
Vaniyambadi,Tamil N?du,Tamil Nadu
Nabha,Punjab,Punjab
Kangan,Jammu and Kashm?r,Jammu and Kashmir
Bhadohi,Uttar Pradesh,Uttar Pradesh
Allinagaram,Tamil N?du,Tamil Nadu
Vasco Da Gama,Goa,Goa
Marmagao,Goa,Goa
Dhar,Madhya Pradesh,Madhya Pradesh
Dod Ballapur,Karn?taka,Karnataka
Akot,Mah?r?shtra,Maharashtra
Contai,West Bengal,West Bengal
Kot Kapura,Punjab,Punjab
Mandvi,Gujar?t,Gujarat
Rayachoti,Andhra Pradesh,Andhra Pradesh
Paloncha,Andhra Pradesh,Andhra Pradesh
Parli Vaijnath,Mah?r?shtra,Maharashtra
Sivaganga,Tamil N?du,Tamil Nadu
